iter	Passed	Remaining
445	1205	1497
446	1207	1493
447	1208	1489
448	1212	1487
449	1214	1483
450	1215	1479
451	1216	1474
452	1217	1470
453	1218	1465
454	1219	1460
455	1222	1457
456	1223	1453
457	1230	1455
458	1231	1451
459	1238	1453
460	1239	1449
461	1245	1450
462	1246	1445
463	1247	1441
464	1250	1438
465	1251	1433
466	1252	1428
467	1253	1424
468	1254	1419
469	1255	1415
470	1258	1413
471	1260	1409
472	1262	1406
473	1267	1406
474	1268	1401
475	1269	1397
476	1283	1407
477	1285	1403
478	1297	1411
479	1298	1406
480	1299	1401
481	1300	1397
482	1301	1392
483	1304	1391
484	1313	1394
485	1314	1390
486	1315	1386
487	1317	1381
488	1321	1380
489	1322	1376
490	1323	1371
491	1324	1367
492	1325	1363
493	1326	1358
494	1327	1354
495	1328	1350
496	1329	1345
497	1330	1341
498	1331	1337
499	1338	1338
500	1340	1334
501	1341	1330
502	1342	1326
503	1343	1321
504	1344	1317
505	1345	1313
506	1346	1309
507	1347	1304
508	1356	1308
509	1357	1303
510	1357	1299
511	1358	1295
512	1359	1290
513	1360	1286
514	1361	1281
515	1362	1277
516	1362	1273
517	1366	1271
518	1367	1267
519	1368	1263
520	1369	1259
521	1370	1254
522	1371	1250
523	1372	1246
524	1373	1242
525	1374	1238
526	1374	1234
527	1375	1229
528	1376	1225
529	1380	1223
530	1380	1219
531	1392	1224
532	1400	1226
533	1401	1222
534	1402	1218
535	1403	1214
536	1404	1210
537	1405	1207
538	1406	1203
539	1407	1199
540	1411	1197
541	1413	1194
542	1414	1190
543	1415	1186
544	1416	1182
545	1417	1178
546	1418	1174
547	1419	1170
548	1422	1168
549	1423	1164
550	1437	1171
551	1438	1167
552	1445	1168
553	1446	1164
554	1447	1160
555	1452	1160
556	1454	1156
557	1458	1155
558	1459	1151
559	1460	1147
560	1461	1143
561	1462	1139
562	1466	1138
563	1468	1134
564	1468	1130
565	1469	1126
566	1473	1124
567	1474	1121
568	1475	1117
569	1476	1113
570	1490	1120
571	1492	1116
572	1493	1113
573	1495	1109
574	1496	1106
575	1497	1102
576	1505	1103
577	1506	1099
578	1507	1096
579	1509	1093
580	1510	1089
581	1511	1085
582	1512	1081
583	1513	1077
584	1518	1077
585	1520	1073
586	1522	1071
587	1523	1067
588	1524	1064
589	1525	1060
590	1526	1056
591	1527	1052
592	1528	1049
593	1531	1046
594	1532	1043
595	1533	1039
596	1537	1038
597	1539	1034
598	1539	1030
599	1540	1027
600	1545	1025
601	1546	1022
602	1547	1019
603	1549	1015
604	1550	1012
605	1551	1008
606	1553	1006
607	1554	1002
608	1557	1000
609	1560	997
610	1562	994
611	1563	991
612	1568	990
613	1569	986
614	1577	987
615	1578	984
616	1579	980
617	1581	977
618	1582	973
619	1583	970
620	1591	971
621	1594	968
622	1595	965
623	1596	961
624	1597	958
625	1598	955
626	1600	951
627	1609	953
628	1610	949
629	1611	946
630	1612	942
631	1613	939
632	1614	936
633	1615	932
634	1621	931
635	1636	936
636	1638	933
637	1639	930
638	1644	929
639	1646	925
640	1658	929
641	1659	925
642	1660	922
643	1664	919
644	1666	917
645	1668	914
646	1669	910
647	1671	907
648	1671	904
649	1673	901
650	1674	897
651	1683	898
652	1684	895
653	1689	894
654	1695	893
655	1699	891
656	1700	887
657	1701	884
658	1702	881
659	1703	877
660	1704	874
661	1705	870
662	1709	869
663	1711	865
664	1712	862
665	1714	859
666	1718	857
667	1719	854
668	1720	851
669	1729	851
670	1730	848
671	1731	845
672	1732	841
673	1735	839
674	1745	840
675	1746	837
676	1747	833
677	1748	830
678	1749	827
679	1750	823
680	1752	820
681	1753	817
682	1757	815
683	1759	812
684	1760	809
685	1762	806
686	1763	803
687	1764	800
688	1765	796
689	1765	793
690	1766	789
691	1767	786
692	1767	783
693	1774	782
694	1774	778
695	1775	775
696	1776	772
697	1777	768
698	1777	765
699	1778	762
700	1779	758
701	1779	755
702	1780	752
703	1781	748
704	1782	745
705	1782	742
706	1788	741
707	1789	737
708	1790	734
709	1791	731
710	1791	728
711	1792	725
712	1793	721
713	1794	718
714	1794	715
715	1795	712
716	1796	709
717	1797	706
718	1800	703
719	1801	700
720	1802	697
721	1803	694
722	1806	692
723	1807	689
724	1808	686
725	1809	682
726	1810	679
727	1810	676
728	1811	673
729	1812	670
730	1813	667
731	1816	665
732	1817	662
733	1818	659
734	1819	655
735	1820	652
736	1821	649
737	1821	646
738	1822	643
739	1823	640
740	1824	637
741	1825	634
742	1826	631
743	1827	628
744	1827	625
745	1832	623
746	1833	620
747	1834	618
748	1835	615
749	1836	612
750	1837	609
751	1839	606
752	1840	603
753	1840	600
754	1841	597
755	1842	594
756	1846	592
757	1847	589
758	1848	586
759	1849	583
760	1850	581
761	1851	578
762	1852	575
763	1853	572
764	1853	569
765	1854	566
766	1855	563
767	1856	560
768	1857	557
769	1857	554
770	1862	553
771	1863	550
772	1864	547
773	1865	544
774	1866	541
775	1866	538
776	1867	536
777	1868	533
778	1869	530
779	1870	527
780	1870	524
781	1871	521
782	1872	518
783	1875	516
784	1876	513
785	1877	511
786	1878	508
787	1891	508
788	1892	506
789	1894	503
790	1895	500
791	1896	498
792	1897	495
793	1898	492
794	1899	489
795	1900	487
796	1903	484
797	1906	482
798	1907	479
799	1911	477
800	1912	475
801	1913	472
802	1914	469
803	1914	466
804	1915	464
805	1916	461
806	1917	458
807	1922	456
808	1923	454
809	1924	451
810	1925	448
811	1926	445
812	1927	443
813	1927	440
814	1928	437
815	1929	435
816	1930	432
817	1930	429
818	1931	426
819	1932	424
820	1933	421
821	1936	419
822	1938	416
823	1939	414
824	1940	411
825	1941	408
826	1942	406
827	1943	403
828	1944	401
829	1945	398
830	1945	395
831	1946	393
832	1947	390
833	1948	387
834	1949	385
835	1950	382
836	1952	380
837	1953	377
838	1954	374
839	1954	372
840	1955	369
841	1956	367
842	1957	364
843	1959	362
844	1960	359
845	1961	357
846	1962	354
847	1963	352
848	1965	349
849	1966	346
850	1967	344
851	1968	341
852	1969	339
853	1970	336
854	1974	334
855	1975	332
856	1976	329
857	1980	327
858	1981	325
859	1982	322
860	1983	320
861	1984	317
862	1985	315
863	1988	313
864	1990	310
865	1991	308
866	1992	305
867	1994	303
868	1995	300
869	1996	298
870	1997	295
871	1998	293
872	2000	290
873	2001	288
874	2003	286
875	2004	283
876	2005	281
877	2006	278
878	2007	276
879	2008	273
880	2009	271
881	2010	268
882	2011	266
883	2011	264
884	2012	261
885	2013	259
886	2019	257
887	2020	254
888	2021	252
889	2022	249
890	2023	247
891	2024	245
892	2025	242
893	2026	240
894	2027	237
895	2028	235
896	2033	233
897	2034	231
898	2035	228
899	2037	226
900	2038	224
901	2039	221
902	2040	219
903	2041	216
904	2042	214
905	2043	212
906	2046	209
907	2047	207
908	2048	205
909	2050	202
910	2056	200
911	2057	198
912	2058	196
913	2059	193
914	2060	191
915	2061	189
916	2062	186
917	2063	184
918	2064	181
919	2065	179
920	2066	177
921	2067	174
922	2068	172
923	2069	170
924	2070	167
925	2073	165
926	2074	163
927	2075	161
928	2080	159
929	2081	156
930	2082	154
931	2083	152
932	2084	149
933	2084	147
934	2085	144
935	2089	142
936	2090	140
937	2091	138
938	2092	135
939	2093	133
940	2094	131
941	2095	128
942	2095	126
943	2096	124
944	2097	122
945	2098	119
946	2099	117
947	2100	115
948	2103	113
949	2104	110
950	2105	108
951	2107	106
952	2108	103
953	2108	101
954	2109	99
955	2110	97
956	2111	94
957	2111	92
958	2112	90
959	2113	88
960	2114	85
961	2114	83
962	2121	81
963	2124	79
964	2126	77
965	2127	74
966	2129	72
967	2136	70
968	2139	68
969	2142	66
970	2145	64
971	2149	61
972	2150	59
973	2151	57
974	2152	55
975	2156	53
976	2157	50
977	2158	48
978	2159	46
979	2160	44
980	2169	42
981	2171	39
982	2172	37
983	2174	35
984	2175	33
985	2176	30
986	2187	28
987	2188	26
988	2189	24
989	2189	22
990	2190	19
991	2191	17
992	2192	15
993	2197	13
994	2198	11
995	2199	8
996	2199	6
997	2200	4
998	2201	2
999	2202	0
